name,description,lon,lat
HYATT-GUEST,BSSID: <b>44:ad:d9:5f:79:e0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096678999</b><br/>Date: <b>2014-02-22 14:17:58</b>,-82.39791667320537,34.852938543785825
FUEL Client,BSSID: <b>0a:27:22:d5:31:78</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393098667000</b><br/>Date: <b>2014-02-22 14:51:07</b>,-82.39991270283001,34.84837762864348
,BSSID: <b>84:1b:5e:2c:69:3e</b><br/>Capabilities: <b>[WPS][ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393097147999</b><br/>Date: <b>2014-02-22 14:25:47</b>,-82.39907795378895,34.85128869876809
public,BSSID: <b>0a:27:22:d5:65:73</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393094440000</b><br/>Date: <b>2014-02-22 13:40:40</b>,-82.3973266379015,34.85114590739628
OD-GUEST,BSSID: <b>24:b6:57:43:c8:e4</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393096754000</b><br/>Date: <b>2014-02-22 14:19:14</b>,-82.39760466513198,34.85376339774837
OD-TEST,BSSID: <b>24:b6:57:43:c8:e5</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393096758000</b><br/>Date: <b>2014-02-22 14:19:18</b>,-82.39760087000529,34.853788774991244
 ,BSSID: <b>00:01:f4:96:2e:7b</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2422</b><br/>Timestamp: <b>1393096410000</b><br/>Date: <b>2014-02-22 14:13:30</b>,-82.3968184713598,34.85197905880235
CLEARTALK TERMINAL 1,BSSID: <b>02:30:44:11:a1:7e</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393097443000</b><br/>Date: <b>2014-02-22 14:30:43</b>,-82.40051175569836,34.849972645896514
ITS-Wireless,BSSID: <b>00:22:bd:9a:7f:80</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393097804999</b><br/>Date: <b>2014-02-22 14:36:44</b>,-82.40087854576448,34.84727713018141
HP-Print-6A-Officejet Pro 8600,BSSID: <b>28:92:4a:c2:41:6a</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393098023000</b><br/>Date: <b>2014-02-22 14:40:23</b>,-82.40209465194857,34.84537517853065
HP-Print-5e-LaserJet 200 color,BSSID: <b>70:18:8b:8b:22:5e</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096118999</b><br/>Date: <b>2014-02-22 14:08:38</b>,-82.39856376146062,34.85075273043208
Westin Poinsett Greenville,BSSID: <b>a4:56:30:46:6a:80</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393097563000</b><br/>Date: <b>2014-02-22 14:32:43</b>,-82.39976432862393,34.849354917445595
GCI-GUEST,BSSID: <b>6c:f3:7f:1a:92:53</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393097807999</b><br/>Date: <b>2014-02-22 14:36:47</b>,-82.40087621263507,34.84726227692683
HP-Print-30-LaserJet 200 color,BSSID: <b>e0:06:e6:31:6c:30</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2422</b><br/>Timestamp: <b>1393096548999</b><br/>Date: <b>2014-02-22 14:15:48</b>,-82.39701128356462,34.85222081583248
HYATT-LOBBY,BSSID: <b>0c:68:03:cb:70:61</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393096672999</b><br/>Date: <b>2014-02-22 14:17:52</b>,-82.3979467934344,34.852881510337674
HYATT-GUEST,BSSID: <b>0c:68:03:cb:70:60</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393096816000</b><br/>Date: <b>2014-02-22 14:20:16</b>,-82.39773189566488,34.8538894632753
wcsrguest,BSSID: <b>00:24:97:88:af:01</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393097986000</b><br/>Date: <b>2014-02-22 14:39:46</b>,-82.4018364727777,34.845640193377044
HYATT-GUEST,BSSID: <b>0c:68:03:dd:79:f0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096696999</b><br/>Date: <b>2014-02-22 14:18:16</b>,-82.39788650660313,34.85308683490529
HYATT-GUEST,BSSID: <b>0c:68:03:dd:7b:50</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096691999</b><br/>Date: <b>2014-02-22 14:18:11</b>,-82.39790646173634,34.85308025586662
turningpoint-guest,BSSID: <b>58:6d:8f:af:be:18</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096436999</b><br/>Date: <b>2014-02-22 14:13:56</b>,-82.39656510401815,34.85185642258229
